id	image_type	year	title	image	description
3372	jpg	2023	Wonder women!	https://amul.com/files/hits/amul-hits-3372.jpg	Alia Bhatt make her Hollywood debut in action thriller, Heart of Stone! - (Aug'23)
3371	jpg	2023	Frying kiss!	https://amul.com/files/hits/amul-hits-3371.jpg	MP's flying kiss during Parliament speech sparks controversy! - (Aug'23)
3370	jpg	2023	Bread aur butter ki prem kahaani	https://amul.com/files/hits/amul-hits-3370.jpg	Bollywood's latest blockbuster! - (Aug'23)
3369	jpg	2023	Gianluigi get the buffet-on	https://amul.com/files/hits/amul-hits-3369.jpg	Legendary Italian goalkeeper hangs up his boots! - (Aug'23)
3368	jpg	2023	Bazi jit liya!	https://amul.com/files/hits/amul-hits-3368.jpg	England's Bazball approach helps them win fifth test and draw the Ashes! - (Aug'23)
3367	jpg	2023	Barbieque party!	https://amul.com/files/hits/amul-hits-3367.jpg	Adventure-Comedy-Fantasy movie causes waves! - (July'23)
3366	jpg	2023	Want a Swift Snack	https://amul.com/files/hits/amul-hits-3366.jpg	Pop star Taylor Swift's Eras tour set to break record in ticket sales! - (July'23)
3365	jpg	2023	X-it of the bird?	https://amul.com/files/hits/amul-hits-3365.jpg	Twitter has a new logo! - (July'23)
3364	jpg	2023	Oppen Yummier Butter!	https://amul.com/files/hits/amul-hits-3364.jpg	Christopher Nolan's war drama creates waves! - (July'23)
3362	jpg	2023	Laoji, chakoji, khaoji, emoji!	https://amul.com/files/hits/amul-hits-3362.jpg	The world celebrates Emoji Day today! - (July'23)
3363	jpg	2023	Alcagrass champ!	https://amul.com/files/hits/amul-hits-3363.jpg	Wimbledon has a new champion! - (July'23)
3360	jpg	2023	Dishin possible. Bread beckoning	https://amul.com/files/hits/amul-hits-3360.jpg	Latest in 'Mission Impossible'franchise hits the cinemas! - (July'23)
3361	jpg	2023	Moon meetha karo!	https://amul.com/files/hits/amul-hits-3361.jpg	Chandrayaan 3 lifts off! - (July'23)
3359	jpg	2023	Lakshya takes sen-ter stage!	https://amul.com/files/hits/amul-hits-3359.jpg	Indian Badminton star wins Canada Open! - (July'23)
